event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
185489,2.606,0.282,9.24113,73236,73236,73225
270078,6.398,0.654,9.78287,116198,116198,116167
259602,5.76,0.6,9.6,109875,109876,109826
288599,7.562,0.787,9.60864,127943,127941,127887
278383,6.845,0.72,9.50694,118479,118480,118452
275646,6.839,0.716,9.55168,120523,120523,120486
239884,4.802,0.511,9.39726,98157,98157,98142
285524,7.411,0.773,9.58732,127368,127368,127333
265503,6.206,0.651,9.53303,115672,115672,115636
275767,6.844,0.727,9.41403,121106,121107,121063
267641,6.272,0.66,9.50303,114785,114785,114734
288309,7.503,0.791,9.48546,126987,126987,126941
270370,6.114,0.615,9.94146,113526,113526,113504
266823,6.128,0.657,9.32725,115583,115583,115557
304545,8.775,0.902,9.72838,138473,138475,138425
266478,6.045,0.637,9.4898,114594,114595,114545
309380,9.117,0.939,9.70927,142500,142500,142448
269811,6.408,0.666,9.62162,114221,114221,114186
298633,8,0.813,9.8401,130657,130657,130621
289722,7.716,0.804,9.59701,128632,128631,128581
253744,5.484,0.578,9.48789,105417,105417,105398
296541,8.166,0.844,9.67536,132480,132480,132436
283782,7.189,0.743,9.67564,125893,125893,125842
290221,7.707,0.828,9.30797,131008,131008,130969
274533,6.889,0.728,9.46291,122427,122428,122378
261486,5.919,0.625,9.4704,110112,110112,110081
286298,7.32,0.797,9.18444,127100,127101,127033
293806,7.767,0.803,9.67248,129668,129668,129635
299932,8.606,0.891,9.65881,137438,137438,137389
275819,6.467,0.699,9.25179,120403,120403,120351
253367,5.315,0.56,9.49107,106150,106150,106111
301792,8.338,0.876,9.51826,135975,135975,135943
288621,7.319,0.776,9.4317,128666,128666,128610
309868,8.877,0.942,9.42357,139007,139007,138961
248601,5.242,0.579,9.05354,105853,105853,105831
293195,7.819,0.788,9.92259,125529,125528,125474
274467,6.457,0.69,9.35797,119156,119157,119111
273876,6.512,0.697,9.3429,119631,119631,119604
268362,6.178,0.648,9.53395,113228,113228,113201
290022,7.465,0.802,9.30798,131095,131095,131048
299077,8.222,0.874,9.40732,134779,134779,134740
287821,7.196,0.745,9.65906,121163,121164,121131
276825,6.623,0.711,9.31505,121401,121401,121378
261493,5.912,0.631,9.36926,112127,112128,112096
299876,8.311,0.882,9.4229,134074,134074,134015
281385,6.697,0.697,9.60832,118631,118631,118585
264786,5.786,0.609,9.50082,110687,110687,110667
266098,5.949,0.623,9.54896,111294,111294,111262
295463,7.713,0.818,9.4291,130300,130300,130227
